,Title,Category,Post Info,Comments
10,No sound after changing voice,Mycroft Project,"hi everyone,
I have an issue when changing the voice or wakeword with the website acoount page (https://account.mycroft.ai/) on my RPi3+. I have a sound output when using the british or the american voice. But when I change to the ggogle voice, there is no sound output. Did I miss something when changing to the google voice or is this an known issue?
BR
Eric","Hey there, is this all sound or just the text-to-speech output?
Do you still get a wake word acknowledgement tone?

Hi, there is no TTS nor a wake word acknowledgement. When I change back to british, than the there is also wake word sound, but TTS works. When I write to the CLI to tell me the weather, then I get a TTS sound output. When I write to the cli “hey mycroft”, then I get “I dont know what that means”. There is also another issue:
When I run the command ""
(.venv) pi@picroft:~ $ mycroft-start wakewordtest
Already up to date.
Initializing…
Starting wakewordtest
Warning: No wav files found in /home/pi/mycroft-core/test/wake_word/data/with_wake_word
Warning: No wav files found in/home/pi/mycroftcore/test/wake_word/data/without_wake_word
Complete!
There seems something broken…
Could someone please give an advise what I could do?

got same problem right after installing picroft, even without switching voices - any suggestion how to repair missing files? (was paired with british voice from start)
(.venv) pi@picroft:~ $ mycroft-start wakewordtest
Already up to date.
Initializing…
Starting wakewordtest
Warning: No wav files found in /home/pi/mycroft-core/test/wake_word/data/with_wake_word
Warning: No wav files found in /home/pi/mycroft-core/test/wake_word/data/without_wake_word
Complete!

Does you Pi is properly connected to Internet? During the first start of the  voice service, some files are downloaded for Mimic2.

yes, was connected before first boot (using picroft image). As I use respeaker2, I stopped first questions about config and installed sound before I tried to get mycroft to work

These are the steps from  auto_run.sh  about the Seeed Mic Array 2.0: https://github.com/MycroftAI/enclosure-picroft/blob/buster/home/pi/auto_run.sh#L377-L398
I’m using the same microphone on my Raspberry Pi 4, do you have any else connected (jack 3.5mm or HDMI) ?"
11,Spotify Connect/Authorize does not work,None,"
In Mycroft advanced skill settings, when i go on the spotify skill, click “Connect”, log into my spotify account then i get the following error message:
INVALID_CLIENT: Failed to get client
Can anyone help? This happens with different devices and different browsers, i suppose something with the base_URI is off, but no idea how to fix it 
Many thanks!
Your Spotify Struggler 
Edit: I am living in Europe and therefore have an European Spotify account, does that matter?
","I believe spotify continues to be an issue. See here.




ATTENTION: Are you a Spotify User? Spotify disabled on Mycroft General Discussion


    For no reason we can desern, Spotify has disabled Mycroft’s API access.  This was used to search their library so that Mycroft users who have paid Spotify accounts can access the music they are paying for. 
We’ve been trying to get in touch with someone at Spotify who can clarify their policy, but have not been able to get a reply. 
If you have a paid account, please open a support ticket with Spotify, then get up on Twitter and let @SpotifyCares know that you pay for an account and want to acce…
  



Front line support is fairly useless on this. I’d love to be able to help figure this out. Can someone on the Mycroft dev team check to see if their app is still authorized? INVALID_CLIENT seems to point to the request being rejected by Spotify because it doesn’t trust the client id that we’re returning to them for the auth request.

i too see the exact same error.  looks like the the client ID (client_id=5509ac5c42cc45d7b4625d0b851a0f1e)  on the redirect from the connect button in the spotify skill is no longer valid?  Would love to get an answer to Tatorzot and others question on this from the devs. tx!

I followed these steps: https://github.com/forslund/spotify-skill/issues/152#issuecomment-719563633
And added a comment with the missing ones: https://github.com/forslund/spotify-skill/issues/152#issuecomment-734514422
At the end all is working fine for me.

I’m running this on mac with virtual box so I don’t think the github fix will work for me. Please fix spotify connect 

The GitHub fix should work for you."
12,Pairing is currently offline,Mycroft Project,"
We are aware of a current issue preventing users from pairing new devices.
We’re investigating now.
","The error with the add device page should be fixed now.
An obscure Angular 10 upgrade issue with ViewChild that was not caught.  Part of this update to Selene was upgrading from Angular 7 to Angular 10.  This was probably the biggest change to Selene since it was originally deployed.
You can find the incident report here:


docs.google.com



Incident Report - 2020-12-18 10:53 GMT
Incident Report: 2020-12-18 10:53 GMT STATUS:  Temporary workaround   Reporter:	Deathrealms via Chat  Symptom: Unable to pair new devices  Status: 10:54 GMT - investigating 12:14 GMT	- continuing to investigate 13:26 GMT	- continuing to investigate...






Thanks to everyone for bringing the issues you encounter to our attention.  Big apologies for the sloppy deployment."
13,Regex Experts Wanted!,None,"
I am looking for some help with regex to help with some of my skills.
If the user says play the song blue christmas the regex should return the song name as blue christmas now if the user says play the song blue christmas by elvis presley the regex should return the song name as blue christmas and the artist as elvis presley. I am able to get these working individually but not as a combined regex.
examples.
“play the song blue christmas”
(the |)(song|single) (?P<title>.+)

“play the artist elvis presley”
(the |)(artist|group|band|(something|anything|stuff|music|songs) (by|from)|(some|by)) (?P<artist>.+)

","I don’t think there’s a good regex for this, sadly. The problem is identifying the break between capture groups.
Even if you try to hinge on important words, they could all be part of a song title.
This is a brain wracking problem. I think the only good solution is to feed it into some kind of search algorithm that returns a tuple or JSON or something.

Indeed a difficult one if you don’t want to risk sticking with a match that cuts the song title apart. Since regex by default is greedy, trying to match very generic regex first against the music library, then, if nothing was found, trying the more specific regex with song and artist separation, probably is safest.
Otherwise it makes sense to be strict:
((the song (?P<title>.+)|something)( from the artist (?P<artist>.+))?|the artist (?P<artist>.+))

Matches:

the song abc
the song abc from the artist xyz
something

If playing a random song from an artist is allowed, playing any random song probably as well?


something from the artist xyz
the artist xyz

Short from of 4., so it could be removed, but matches the example you gave.



The shorter/easier the signal words and the more alternatives you allow for those, like song/single, from/by, something/anything/stuff..., artist/group/band, the more false matches occur, so either multiple regex need to be looped through to not match wrong or miss a match in the music library, or one has to live with either missing results (when full matches are allowed only) or a large number of results (when a title/artist only needs to contain the string matched by the regex), when a song title or artist name contains one or more of those signal words."
14,Picroft - No sound with 3.5mm jack output,Mycroft Project,"Hello,
I’m trying to set up a Picroft on a Raspberry Pi 3B with a PS3 eye and a speaker connected with a 3.5mm jack. The microphone is working fine but I have no sound… Can someone help me?
Rémi","What have you tried so far? What was the result of that effort? What’s in the logs (/var/log/mycroft/*)?

I tried to change the default sink (because it offers me two) as shown in the Mycroft AI Audio Troubleshooting guide and I also tried to configure the sound output of the rapsberry (with the raspi-config menu) so that it uses headphones. But nothing worked, no sound comes out…
I have tried what is shown on this page (https://windowsreport.com/raspberry-pi-audio-not-working/) and I have some sound when I run “./hello_audio.bin”. But when I try something like “speaker-test -c2 -twav” (as recommended here https://www.tinkerboy.xyz/raspberry-pi-test-sound-output/), I have no sound…
Do you think this is a problem with playing .wav?

Is PulseAudio installed/used or plain ALSA? I.e. by default, Mycroft uses paplay to play wav files, so that would be a test that is coming closer. You say microphone is working fine, so you could try:
cd /tmp
arecord -d 3 test.wav # Then make some noise for 3 seconds
paplay test.wav
aplay test.wav # just to test plain ALSA as well

raspi-config btw produces the following asound.conf override for the current user (~/.asoundrc):
pcm.!default {
  type asym
  playback.pcm {
    type plug
    slave.pcm ""output""
  }
  capture.pcm {
    type plug
    slave.pcm ""input""
  }
}
pcm.output {
  type hw
  card $AUDIO_OUT
}
ctl.!default {
  type hw
  card $AUDIO_OUT
}

AUDIO_OUT is set to the sound card ID selected. As you said there were two, most likely those were HDMI sound on ID 0 and “headphones” (=3.5mm jack) on ID 1.
I played around with ALSA configs and Mycroft in the past (and do just now again) and I’m not sure whether the “asym” plugin is such a good idea here. You could test instead (cat for copy&paste to console):
cat << '_EOF_' > ~/.asoundrc
pcm.!default {
  type plug
  slave.pcm {
    type hw
    card 1
  }
}

ctl.!default {
  type hw
  card 1
}
_EOF_

Try card 0 as well, if the above does not work, or verify which ID is which card via aplay -l.
But as you see this is all about ALSA, while I have not really an idea how PulseAudio acts on top of that.

hi Remi, have you managed to fix this issue?
I’m having the exact same issue with a raspberry pi 4, 3.5mm jack out and ps3 eye in. microphone appears to be working fine but cannot get any output from 3.5mm jack.

Hi,
No, I haven’t solved my problem yet and I must admit that I haven’t yet taken the time to try MichaIng’s advice.
Can you try and then tell me if it worked?

I have the same problem - no any sound on 3,5mm jack audio. I tried what @MichaIng said above (btw I didn’t had .asoundrc by default) but it’s still not working.
Temporary solution for now is to reboot device only with plugged 3,5mm jack without any HDMI screen and control device using ssh.

Did you also run the paplay and aplay tests?
What I am wondering is that Picroft by default comes with PulseAudio setup, AFAIK, but raspi-config audio config configures plain ALSA. I have no experience with PulseAudio, but would assume that setting up both somehow might conflict and break sound .
EDIT: Ah, based on the default config file, it uses plain ALSA to play wav sounds but forces HDMI output in most cases on new RPi kernel (see below): https://github.com/MycroftAI/enclosure-picroft/blob/buster/etc/mycroft/mycroft.conf
Another thing is that Raspberry Pi with the newest kernel changed the audio interface. Prior to the change, HDMI and 3.5mm jack output was all on asound card 0, now 3.5mm jack is on card 1, if a HDMI monitor is attached. Probably Picroft didn’t adapt to this change yet.

Yes, I used both commands and neither gave me a sound

I just found: Sound always go through hdmi
That symptom and workaround, which matches yours, would pretty much fit to the assumption that Picroft ships with a audio config that has not been updated yet to support the new RPi kernel audio interface changes.
… checking source code: https://github.com/MycroftAI/enclosure-picroft/blob/buster/etc/mycroft/mycroft.conf#L2
Okay pretty simple: The default Mycroft config forces audio output to card 0, which is HDMI only, if a monitor attached. These settings override the ALSA config.
Please edit /etc/mycroft/mycroft.conf and either change in the first two settings ""hw:0,0"" to ""hw:1,0"" or remove the card+device options completely so that the values are ""aplay %1"" and “mpg123 %1” and hence respect the ALSA settings (~/.asoundrc).
EDIT: Ah, since that config file will be overwritten on updates, AFAIK, better create/edit the local user override, which should be located at: $HOME/.mycroft/mycroft.conf
EDIT2: That should fix the issue so that raspi-config selection, respectively manual ALSA configuration is respected: https://github.com/MycroftAI/enclosure-picroft/pull/150

Btw, to review all sound devices and their card and device IDs, run: aplay -l"
15,Sound always go through hdmi,Support,"hi, I have problem. I can’t get sound on 3.5mm jack output even if I change use audio output with “pack set-default-sink”
I have only 2 output choices :
-alsa_output.platform-bcm2835_audio.analog-mono

alsa_output.platform-bcm2835_audio.analog-mono2
even with the wizard setup when I choose 3.5mm jack sound go through hdmi…
do you know how to get sound on 3.5mm jack?","Hi @ewaca:
Same happens to me recently I guest you’re using a Rasberry Pi with PiCroft.
I solved following the steps here:
https://mycroft-ai.gitbook.io/docs/using-mycroft-ai/troubleshooting/audio-troubleshooting
And disconneting the monitor (hdmi output) and getting access throught SSH, previously I configured the Wifi.
Later I changed a few things  because was trying with different microphones, end up buying the “Playstation 3 Eye PS3” for input.
Regards,

Hey guys, please try to edit your mycroft.conf like mentioned here: Picroft - No sound with 3.5mm jack output"
16,"Skill not working, probably the intent?",Support,"
So first of all: This is my first try in skill development.
I am unsure what’s wrong… the only thing I try is to let the skill tell me a random number. But it isn’t even finding my skill? Could someone look into this and tell me why: https://github.com/VSgit/random-number-skill
I’m not sure if the intent and dialog are correct.
","
Check the logs (/var/log/mycroft/skills.log) and see why it’s not loading?

I’m not sure if it’s the issue but you didn’t register you entity file.
https://mycroft-ai.gitbook.io/docs/mycroft-technologies/padatious

Its still not working… I updated init.py and now the entitys are registerd… I think.
Do you have other ideas why its not working?
"
17,Google AIY VoiceKit 2 with Raspberry Pi 4 B,General Discussion,"Hello Everyone,
I was trying to install picroft on Raspberry Pi 4B + Google AIY VoiceKit 2. But I can’t get the audio input & output working. I’ve tried https://github.com/chiisaa/picroft-google-aiy2-voicebonnet-skill and it’s not working. Can anybody help me fix it?","Hi Toms!
The skill you tried to installed requires a working Google AIY VoiceKit 2. If it’s not the case then this skill will be useless until then.
During the wizard (at the first boot), did you choose the following?
  4) Google AIY Voice HAT and microphone board (Voice Kit v1)
This should should install the required packages from Google and configure your Raspberry Pi properly. At the end a reboot is required.

Thanks a lot for the quick response. I didn’t choose that option as I have Voice Kit V2.

Did you run this shell script: https://github.com/chiisaa/picroft-google-aiy2-voicebonnet-skill/blob/master/install_AIY2.sh

Yeah. I ran it too. No luck

Fixed the issue.
Installed Chiisaa skill from marketplace and installed it. The LED was workinf fine after that, but not the audio input & output. Finally went to /boot/config.txt and commented out the below lines.
#dtoverlay=i2s-mmap
#dtoverlay=googlevoicehat-soundcard
#dtoverlay=googlevoicebonnet-soundcard
works like a charm now.
If you face any issues setting up Raspberry Pi4B + AIY Voice Kit V2, feel free to post in this thread so I can help.

Thanks"
18,Konnex domotica integrator,None,"Hi to all, this is my fist time…
I have a konnex home automation system that I would like to control with mark 2 that speaks in Italian. It’s possible?
Thanks for your reply. I am  a beginner I recently discovered mycroft and I love it.","Hi @Muttley & welcome! 
Do you mean KNX? (if not sorry for the rest of this message)
If yes, the solution could be to install Home Assistant (which has  KNX integration) somewhere and then install the Mycroft Home Assistant skill to command Home Assistant.
Mycroft Home Assistant skill as a translation for Italian language.

Home Assistant KNX integration: https://www.home-assistant.io/integrations/knx/

Mycroft skill: https://market.mycroft.ai/skills/af6c0e65-0ec4-4481-a2c8-4991d08fca9b

Italian translation: https://github.com/MycroftAI/skill-homeassistant/tree/20.08/vocab/it-it



Hi goldyfruit neace to meet you.
Thanks very much for your support. Great but it’s the same read like japanese for me.
My son call me “Nabbo” because i haven’t skill for this.
Yes Konnex is knx. If i understand what you tolto me, i will speak in italian with mark 2, that without home assistant make operation in my knx system. If it is how home assistant speak with knx system?
Thank for your help. If you want i make a cake for you"
19,Testing and Feedback for Magic-Mirror-Voice-Control-Skill,Skill Feedback,"How to install magic-mirror-voice-control-skill



Install magic-mirror-voice-control-skill by …


git clone https://github.com/dmwilsonkc/magic-mirror-voice-control-skill.git


When you first activate the skill, Mycroft will attempt to find the ip.json which will hold the ip address of your MagicMirror. If that file does not exist Mycroft will say
""To activate the magic-mirror-voice-control-skill I need to know the I P address of the magic mirror. What is the I P address of the magic mirror you would like to control with your voice?""


Be ready, because Mycroft will expect an answer, and you will hear the listening chirp as soon as Mycroft finishes speaking. Be ready with the response “Set IP Address 192 dot 168 dot X dot XXX”. Replace the X’s with your MagicMirror’s IP Adress. It can be finicky. So if it doesn’t work, just say ‘Hey Mycroft’… 'Set IP Adress 192 dot 168 dot X dot XXX again. Be careful not to say ‘Set IP Adress to’ because Mycroft tries to add the word ‘to’ into the IP Adress.




magic-mirror-voice-control-skill connects to a working install of MagicMirror from …


https://magicmirror.builders/


which can be installed by 'git clone https://github.com/MichMich/MagicMirror.git'


WARNING!!! IF YOU PLAN TO HAVE BOTH MAGIC MIRROR AND MYCROFT OPERATING ON THE SAME RASPBERRY PI, YOU MUST USE MAGIC MIRROR V2.3.1 AND NOT THE LATEST VERSION 2.4.1 BECAUSE THE V2.4.1 HAS A NEWER VERSION OF ELECTRON WHICH WILL CAUSE EXTREMELY HIGH CPU USAGE AND WILL OVERHEAT YOUR RPi.


you can use git checkout 60b9a5b


in the config.js you will need to modify your ip whitelist like so:
address: ""0.0.0.0"", port: 8080, ipWhitelist: [""127.0.0.1"", ""192.168.X.1/24""],
where 192.168.X.1/24 -----------X is your local network address


In addition to the default modules the MMM-Remote-Control module and my fork of the MMM-kalliope module must be installed for the skill to function as it does in the video. To add the modules to the config.js follow the instructions for each module.


If you would like to see the steps I took to have both a working copy of MagicMirror and Mycroft operating on the same RPi you can check out these two links Creating my first skill… and Trying to install both…




How to test magic-mirror-voice-control-skill
Specify the steps the user should take to test the Skill, such as;


Speak —hey mycroft… hide clock


Mycroft should —remove the clock from the MagicMirror display


Mycroft has a number of different “system action keywords”
refresh
restart
reboot
shutdown
show
hide
turn on
turn off
update
conceal
display
wake up
go to sleep
save
When these system action keywords are combined with “System Keywords” like
article details
mirror
monitor
raspberry pi
pi
modules
screen
You can Reboot Pi for example or Turn Off Monitor or Save Pi or Update Mirror
You should see the action taken, and get an audible response from Mycroft.


There are also actions that can be directed at modules:
hide
show
display
conceal
install
add
turn on
turn off
update
That need to be coupled with “Module Keywords” like:
alert
update notification
clock
calendar
compliments
wunder ground
traffic
google traffic map
email
remote control
news feed
page indicator
remote control repository
button
buttons
carousel
carousel navigation
connection status
hide all
glance
module scheduler
on screen menu
tabulator
bitcoin
ethereum
lice
stock
stocks
In all, Mycroft can interact with 340 different modules. But the only commands that Mycroft will take action are on modules that are actually installed on the MagicMirror. Like hide clock, or show email, or turn off weather for example.


Mycroft will respond to every intent that is recognized with an action which you will see on the mirror and a verbal response from the success.dialog:
done
complete
success
as you wish
by your command
If the command doesn’t make sense, like install raspberry pi, Mycroft should respond with incrorrect.dialog.
‘That command is not valid, please restate it’ or
‘I cannot follow that command, please say it a different way’
‘That command does not make sense, please try again’
If a module is not installed, Mycroft will respond:
“That module does not appear to be installed.” or
“I cannot find that module installed on the magic mirror.”
Where feedback on magic-mirror-voice-control-skill should be directed to:
Feedback is preferred here on this post, or via [Mycroft Chat] -> @dmwilsonkc  (https://chat.mycroft.ai","@dmwilsonkc,
Very interested in this project but currently don’t have the hardware to make it happen. It is on my wish list though. Few questions (unrelated to the skill).

How big is the mirror and display?
Did you use Glass or Acrylic?
Could you have a larger mirror with smaller display in one region of the mirror?
Can the MM be a separate installation (hardware) to mycroft?

Looks great by the way.

@pcwii I have not built the physical mirror yet. My plan is to use an old 32” LCD monitor and acrylic mirror. As far as using a smaller display with a larger mirror, it is all up to you and your personal preference. You can use separate installations of Mycroft and Magic Mirror. You can even use this skill with a Mark 1 and a MagicMirror as long as it is on the same network, and the mirror has the proper modules installed and the IP whitelist is configured in the mirror’s config.js

I’m love your skill iv got to say and after finding out about picroft I would like to us this ai with my MagicMirror2, I’m running the latest MagicMirror2, you mentioned about over heating issues is this with no pi cooling or not as I have a heat sink and fan on the cpu and ram and a heat sink on the smsc chip?? Or is it better to just downgrade the mirror version, thanks for the great work, just one more thing is there any more progress with the skill??

@Jmh474 You can use any version of MagicMirror you like as long as the MMM-Remote Control Module and my branch of the MMM-kalliope Module  are installed. My concern about the overheating is because I had both the MagicMirror and Picroft installed on the same RPi. If you experience overheating issues, you can always use a seperate RPi for Picroft, so long as they are on the same network and have access to the MM’s ip address. You could also use the skill (so long as the modules are installed on the Mirror) with a Mark 1 and quite probably a Mark II when they ship.
The the skill works by sending http requests to the MagicMirror, so as long as the modules are installed and you’ve properly whitelisted the Picroft’s ip, it should work perfectly. 

@Jmh474 Oh… I haven’t been able to do anymore work on the skill for quite some time. I’m not sure what other functionality you’re looking for, but I’m super busy with work and I’m not sure when I could get to it. If you’ve got cooling with your mirror overheating will probably not be a problem for you, I am using a basic RPi 3b with a 16gb sd card. Nothing fancy, but overheating is a consideration for me.

thanks for the fast reply not much else i wanted really just asking if your still tinkering with the skill, but again grate work

as soon as the magic mirror server is not active, you will get a second error error message every second
“Bei der Verarbeitung der Anfrage ist ein Fehler im Skill Magic Mirror Voice
Control Skill aufgetreten.”  pretty nerf.

@gras64 I will work on error handling for that event. Sorry.

How can we add more modules into the “availablemodules.json” file?

@Anthony_36 You can create a Pull Request for the modules you want and I can add them. You could add them yourself but they will be replaced on an update, so you could create a backup of that file after you’ve added the modules you’d like added in case the skill gets updated. If you look at it, it is a simple json file and the parts for each module you want added are pretty self explanatory. If you do a PR please include a link to the module’s url. I will update it, but not if I have to hunt for the module.
Submit the PR here

I thought that I must do much more for it to work. So if I add in availablemodules.json a small array containing the module’s url, mycroftname etc like all the others it will work just like that? If so I will do ti my self with a back up folder as you mentioned. Thank you for the tip.

@gras64 So I had the opportunity to identify instances in the code that throw the “There was an error processing a request in the MagicMirrorVoiceControl skill” error. I think I have made the necessary code changes to account for possible errors and address them so the annoying “error processing request” errors no longer happen. I also made changes in the code to check for connection and whether my fork of the MMM-kalliope is installed and configured. If you get a chance, go to the magic-mirror-voice-control-skill directory in the skills directory /mycroft-core/skills/magic-mirror-voice-control-skill/ and type
git pull

To update the skill.
Let me know if you find any other errors I need to address.
Thx,
Cheers!

Hi @Jmh474, @gras64, and @Anthony_36
This Skill is currently being reviewed to be included in the public Skills Marketplace. It sounds like you are all using the skill currently so your experience is the best indicator of whether it’s functioning as expected.
Based on the skills current README.md, if a User installed this from the Marketplace, would they be able to get setup and perform all the actions described in the example intents?
Is there anything that you think needs to be modified before it is merged into the Marketplace?

hello, I have a problem with Magic-mirror-Voice-Control-Skill.
All works before yesterday.
Yesterday I update mycroft to the latest version 19.8.0 and now at the start of Mycroft I have the following error:

2019-09-27 22:47:28.701 | ERROR    |  9316 | mycroft.skills.skill_loader:_load_skill_source:209 | Failed to load skill: magic-mirror-voice-control-skill (ImportError(""No module named 'mycroft.messagebus.client.ws'"",))
Traceback (most recent call last):
  File ""/home/pi/mycroft-core/mycroft/skills/skill_loader.py"", line 202, in _load_skill_source
('.py', 'rb', imp.PY_SOURCE)
  File ""/usr/lib/python3.5/imp.py"", line 234, in load_module
return load_source(name, filename, file)
  File ""/usr/lib/python3.5/imp.py"", line 172, in load_source
module = _load(spec)
  File ""<frozen importlib._bootstrap>"", line 693, in _load
  File ""<frozen importlib._bootstrap>"", line 673, in _load_unlocked
  File ""<frozen importlib._bootstrap_external>"", line 673, in exec_module
  File ""<frozen importlib._bootstrap>"", line 222, in _call_with_frames_removed
  File ""/opt/mycroft/skills/magic-mirror-voice-control-skill/__init__.py"", line 31, in <module>
from mycroft.messagebus.client.ws import WebsocketClient
ImportError: No module named 'mycroft.messagebus.client.ws'
2019-09-27 22:47:28.730 | ERROR    |  9316 | mycroft.skills.skill_loader:_communicate_load_status:280 | Skill magic-mirror-voice-control-skill failed to load


Any suggestion? how fix it?
Thanks a lot

I do not know why this error is occurring. Obviously if it happened after the update, something changed with Mycroft’s code. We can ask @gez-mycroft to look into what may have changed with Mycroft-core’s web socket.




 dmwilsonkc:

Obviously if it happened after the update, something changed


Solved…
I made that change al the issue disappear:

image736×562 139 KB


image924×253 108 KB


I have the problem “No module named” also with many other skills. it seems to me that the dependent rent for updates are not installed properly. no idea.

Hey, checkout this change to the Reminder Skill to see how you can switch it over to the new format.


github.com/MycroftAI/skill-reminder






Switch to MessageBusClient

WebsocketClient was deprecated and replaced with MessageBusClient

  by forslund
  on 12:03PM - 02 Sep 19 UTC


  changed 1 files
  with 2 additions
  and 2 deletions.








@gez-mycroft Thanks! I’ve been swamped at work so I haven’t really had a chance to look at this. I’ll update the skill to the MessageBusClient, but I probably won’t be able to get to it for a couple of weeks. Thanks, Dave."
20,Sonos controller skill - testing and feedback,Skill Feedback,"My first attempt at making a skill, any feedback will be greatly appreciated
Sonos controller skill
A simple mycroft skill to control sonos speakers
Description
Uses the SoCo library to control sonos speakers
You can set a default speaker in the settings, otherwise a random active speaker will be chosen at initialisation

sonos_gui670×969 219 KB

Examples

“sonos play”
“sonos pause”
“sonos next”
“sonos previous”
“sonos louder / volume up”
“sonos quieter / volume down”
“sonos shuffle on”
“sonos shuffle off”
“sonos playlist playlist_name”
“sonos playlist playlist_name in the living room”
“sonos play album album_name”
“sonos set living room (as active speaker)”
“search for sonos speakers”
“show album (art)” (requires mycroft-gui)
“sonos what’s playing?”

Specific music services (e.g. Spotify) are not (yet) implemented as I do not have any accounts
github



GitHub



boxledev/sonos-controller
A simple mycroft skill to control sonos speakers. Contribute to boxledev/sonos-controller development by creating an account on GitHub.","Great work! Will try it soon…
There is another sonos-control-skill, but this wasn’t updated for more than 1,5 years and has no support for Mycroft-GUI.

Hi. I wanna test and can help in development as I have a spotify account. I am completely new to mycroft. I just got a picroft device up and running, I forked your gihub repo and am trying to install the skill using ````  msm install . I think I am missing something in the skill installation process… 

2020-10-13 15:44:01.465 | WARNING  |  9035 | soco.data_structures_entry | DATA STRUCTURE UPGRADE FAIL. Unable to upgrade music library data structure to music service data structure because an entry is missing for DidlFavorite in DIDL_NAME_TO_QUALIFIED_MS_NAME. This should be reported as a bug.
2020-10-13 15:44:01.474 | WARNING  |  9035 | soco.data_structures_entry | DATA STRUCTURE UPGRADE FAIL. Unable to upgrade music library data structure to music service data structure because an entry is missing for DidlFavorite in DIDL_NAME_TO_QUALIFIED_MS_NAME. This should be reported as a bug.
2020-10-13 15:44:01.482 | ERROR    |  9035 | mycroft.skills.skill_loader:_create_skill_instance:271 | Skill __init__ failed with KeyError('resources')
Traceback (most recent call last):

If you are interested in discussing via Slack: https://join.slack.com/t/sonosmycroft/shared_invite/zt-i9k7v004-m0vqLr2q8cXRh4Z_LPb8Ag

hi. there was indeed a problem with one of the commands. Should be fixed now.
Can you try again?

I will try your changes. I think there was another issue, that I workarounded in a branch: https://github.com/lnguyenh/sonos-controller (I forked your repo). Some of my playlists did not have “resources”. But in my fix I think I broke another command. Tonight or tomorrow I will try to get things working with Spotify, and fix the command I broke.
Example of playlists missing a key in a dict.

Screen Shot 2020-10-13 at 17.28.432296×554 111 KB

Try the slack link from my post above if you wanna discuss faster 

Darn, it seems that getting more direct access to spotify (to search, play specific playlist or albums) is not possible anymore via SoCo :


github.com/SoCo/SoCo








META ISSUE Music service authentication issue



        opened 09:54AM - 06 Jan 18 UTC




          KennethNielsen
        





As explained by @lawrenceakka in #428:
Sonos has changed the way in which music service account data can be accessed. It used...


Bug
Confirmed







(see the readme here as well: https://github.com/SoCo/SoCo

I didn’t know about the spotify (and other music services) change of policy. Makes me glad to have my music locally 
About your problem with resources, can you elaborate a bit on that? I’ve not seen any playlists that do no have a resource, how would they get played if there’s no location for them? Can you play them through the official sonos app? Are they local music files or part of a music service such as spotify? in case of the latter I fear we can only add a fix to skip importing unsupported playlists.

Hello boxledev
I think it could be easier to discuss either on

the official chat from mycroft (https://chat.mycroft.ai/community/channels/dev just dm me there)
the temporary slack that I setup: https://join.slack.com/t/sonosmycroft/shared_invite/zt-i9k7v004-m0vqLr2q8cXRh4Z_LPb8Ag


I could show you some samples in an easier way, and continue the discussion.
But anyway. Even if I skip the favorites that dont have resources, I get a upnp error when I try to play the first favorite that does have a URI (see the screenshot above, i sed the uri from “broken politics”). I start to feel a bit pessimistic :).
Last thing I tried is to use the “spotipy” python library and ttrying to use soco to play things on sonos from the data I get from spotipy, but so far, no success.

There is a PR on SoCo project to bring back the music services (Spotify, etc…).


github.com/SoCo/SoCo








[WIP] Bring music services back


SoCo:master ← KennethNielsen:bring_music_service_back



        opened 08:48PM - 29 Nov 20 UTC




          KennethNielsen
        



+376
-109











This is great news! I see you are contributing to the soco project. Once they release a new Soco version, feel free to also contribute to this skill. I started this skill as a first project to try and get to know mycroft, and for me local control was sufficient. But it would be nice to expand the possibilities. Unfortunately my sonos setup is quite limited, I only have 2 speakers, one in each room, so it’s hard for me to test different setups and combinations (and not frustrate my significant other  )"
21,Mycroft-config in Mark I,Support,"
Hello everybody,
after some month closed in a box, i’ve just reimaged my Mark I device with the latest sw.
Now I would like to study it deepr, starting from the language.
First step, dirst stop: how can I use, or find, mycroft-config? Have i to use it?Or i’ve just to manage conf files?
Thanks in Adavance,
Nic
","Did you already read through the documentation on mycroft.conf?

Hello Dominik,
yes i have: at  the moment i’m using that file in order to setup my Mark 1 and use Italian Language.
I’m going ahead in that way.
i was just looking for Configuration Manager Utility
I think it could be helpfull for me, a good way to start… isn’t it? and, exist it?
Thanks in advance,
Nic

You can edit mycroft.conf directly or use the configuration manager tool. Both will have same result if done properly. Config-manager should be a bit easier and safer in case you are not familiar with editing  json-files.

Eh… that’s the point! Where is this tool? have i to install it? Have i to call to from a specific folder?

Log into Mycroft via SSH, then issue mycroft-config command on the console,e.g. mycroft-config set lang ""es-es""
to set language to spanish.




 Dominik:

mycroft-config set lang “es-es”


bash: mycroft-config: command not found

but mycroft-cli-client works?
which version number is shown in the upper right corner of the cli-client, it should read “mycroft-core 20.8.0”?
if not, there is something wrong with your setup/environment."
