,Topic Title,Category,Tags,Leading Post,Post Replies,Created_at,Likes,Views,Replies
10,Price Checker 2 - Competitor storefront extraction,Product Sourcing,[],"Hi! We are new to the forum and are going through the Product Sourcing for Professionals SOPs. We have a question on the Product Extraction workflow process using PC2: we have downloaded the free version and it doesn’t have the button that says ‘Amazon Browser/Searches’. Do we need to purchase the full PC2 package to get this feature?
Thanks for your help in advance!","['Yes you will need the paid version.  Options for extraction tools include PC2, Tactical Arbitrage, and Helium10.  All require a paid version to run at scale.', 'Thanks very much!']","Jun 8, 2020 9:02 am",1,270,2
11,Top 10 Tips to Grow your Business Rapidly,Product Sourcing,['Purchasing'],"As I am working in Amazon as a seller from last 6 years do you want some tips for selling and growing your business fastly like how I grow my business this are some tips, please read carefully :-
Top 10 Amazon Selling Tips


Optimize Product Details for Search


Use Competitive Pricing


Take Professional Product Images


Try to Own the Buy Box


Work to Continually Improve Your Performance


Consider Using Fulfillment by Amazon


Follow Amazon’s Rules


Leverage Product Reviews to Your Advantage


Make Customer Service a Top Priority


Manage Amazon Inventory Proactively

",[],0,0,0,0
12,Virtual Assistants,Product Sourcing,[],"Does anyone have a VA they recommend, have used or currently using that require more work?","['@McDavid Most don’t want to share any stellar VA they are currently using.  The best thing would be to hit the VA hiring websites such as onlinejobs.ph.  Have 3 or so run a task and see which results are the best.  If two do similarly well, hire both part time and promote whichever one you prefer to full time after a month or so.', '@McDavid other than onlinejobs.ph, we’ve also had luck with goLance and UpWork! There’s a ton of good VAs out there, but it can sometimes take a bit of time to find them. Mitch’s advice is great.', 'Hi McDavid, message me on facebook https://www.facebook.com/profile.php?id=100010499437495 2 and I can provide you a lead.\nJim']","Feb 20, 2020 12:06 am",1,306,3
13,Can you sell branded products on Amazon uk,Product Sourcing,['Sourcing Brand Name Products'],Can you sell branded products on Amazon Uk or must it be in Amazon .com,['You can sell on Amazon UK as well.  It could actually be a big selling point in sourcing to tell the brands that you want to get their products to the UK market.'],"Feb 19, 2020 10:02 am",0,195,1
14,Price Checker Sales Estimate,Product Sourcing,[],"Hi!
Are y’all still using PC2 for extracting storefront?  Looks like their numbers are way off (Est. monthly sales) and if we base our research on these #s then we are looking at incorrect info?!  I’ve tried running Helium & JS and their estimates are close to each other, PC2 is just way off.
So if our assumption of monthly share volume is based on that, we could be considering carrying a product that is a dud.","['@xinod14 Are you seeing an inacurracy in a consistent direction?  At what estimated volumes do you see the highest inaccuracy?\nGenerally, it’s tough to estimate volumes of 30 or less accurately but in that couple 100 per month range, I find PC2 estimations to be lower than JS & VL.']","Feb 7, 2020 3:46 pm",0,205,1
15,Black Box (Amazon Product Research) - yay or nay?,Product Sourcing,[],"We’ve heard some good things about this tool:



pages.helium10.com



Black Box - Amazon Product Finder & Research Tool | Helium 10
Black Box, gives Amazon sellers the power to find virtually any type of product they may want to sell on Amazon based on the criteria set.






Just wondering if other people are using it, and what your experiences are?",['@zaid We use many of Helium10’s products.  Blackbox is very similar to Viral Launch’s Product Discovery tool.  I haven’t used Black Box as a means of sourcing due to the export limit of 200 products.  If you can find a way to increase the export size it would be a phenomenal tool.\nI do use X-Ray a fair amount.  X-Ray is basically the chrome extension of Blackbox for researching an ASIN page.  Aside from that I also use the Inventory Levels tool in the extension a fair amount as well.\n\nScreenshot_2_4_20__2_57_PM796×938 39.9 KB\n'],"Feb 4, 2020 8:01 pm",0,188,1
16,VA’s vs Outbound Call Center,Product Sourcing,['Vendor Management'],"Anyone have experienced using an Outbound call center to close new leads instead of VA’s? With closing new deals I mean calling, email, filling the forms online.Thanks!",[],0,0,0,0
17,BO’s Contact Info Research Linkedin paid account VA access,Product Sourcing,[],"Hello all, I was hesitant to let my VA sign into my personal linkedin profile to use linkedin professional business to search for contact information.
So, I created a new personal linkedin profile to connect my company page. Linkedin will not let you create a company page with a separate login. Now, I find that even with linkedin professional business (unlimited 3rd degree searching) I’m still getting blocked from doing three degrees of separation searching, because my second profile only has a couple connections.
Did anyone else feel a little uneasy with handing over your personal linkedin page to your VA to gather email info?
Thoughts…?","['You have to trust your VA to do so many things… I definitely prefer to give login info to a VA I’ve worked with a little while. We also do keep a list of all the sites/apps they have login info for, and change passwords when someone leaves or is terminated.', '@Cameron.B I totally get your concern. I’ve also been nervous about this, but have been outsourcing tasks online for over 10 years now and have yet to run into an issue where someone did something “bad” with my credentials.\nI know, it’s hard to fully trust strangers from across the world, but at some point you just need to ', 'Thanks for your replies (Liz and Zaid). I already went ahead and got premium business and changed my login credentials for my VA on Sunday. I pretty much knew that there wasn’t going to be another option, but maybe there is a creative solution floating around out there.\nI’ve definitely become better and better at finding the things that make me hesitant, and I’m getting better about just plowing ahead. If emotions are getting to you, then you know you’re going in the right direction.', 'You could just give them credentials trough lastpass.', '@Themachine That would work well.  You would have to create a separate LastPass account that only contained VA necessary credentials.  Don’t give them your personal account.', '@Themachine and @Mitch, I did play around with lastpass several months ago.\nI don’t see how lastpass would offer any advantage. Once a VA is signed into any account they can reset the email and password.', '@Cameron.B it won’t help with security but would just make it easier when adding new VAs or changing passwords.  It would eliminate the need to send them 8 or 10 username and passwords.  Password updates would automatically be passed to the VA when you change it also.', 'Ok, I recognize that.', '@Cameron.B you may want to consider the LastPass Sharing feature rather than creating a new LastPass account and giving your VAs access. With Sharing they don’t get to see the password, then if you have to let the VA go, you just revoke the share.\nThe one limitation with this, however, is if they’re logged into your account on a site, revoking a LastPass share does not log them out automatically. So if you’re concerned they may do something “bad” you should still manually reset the passwords in those cases.', '@Kane, the sharing feature does ring a bell, but I’m not sure I fully looked into it, now I will.\nThanks…Cameron.']","Jan 19, 2020 6:27 am",2,344,10
18,Catalogs Analysis Best Practices,Product Sourcing,[],"Hello all, I found it’s a very lenghty process to go through catalogs and choosing the right products to order. I found my self also going through the same products multiple times to double check prices, competition, etc.
Do you have any best practices and tips to recommend to go through a catalog?
For example, analyzing a TA or ScanUnlimited catalog, do you add colums, filters or format things differently in order to be more efficient in analyzing the catalog?
Thank you!","['@gianmeliShanghai We typically analyze the products AT LEAST twice.  Unless things progress very quickly, you have to account for changes over time.  If your initial analysis and order are just days apart, I’d still recommend analyzing twice.  Shortcuts and under-analysis are good ways to lose money.\nOne thing I have picked up for large price lists though, is I will have PC2 give me both current buybox, and 90 day average buybox side by side.  It’s a good way to quickly see if there is price volatility.  I’ll do the same thing with BSR also to see how constant sales have been.', 'Hi @Mitch\nIs there an SOP for this step?\nHappy New Year!', '@Adrian Absolutely.  The SOP is PURCHASING: New Product Step 1: Pre & Post PO Actions.\nIn the SOP, Task 32 is “If You Want to Purchase Products”.  In this step, you assign a double check either to a teammate, or yourself.  If the deal progresses quickly, the double check should be enough.  If it takes a month or two to close the deal, you may run the analysis portion of the SOP 3, 4, or 5 times.']","Dec 28, 2019 9:57 am",0,278,3
19,Selling books,Product Sourcing,['Pricing & Negotiation'],"my question is : when selling books, the pricing for paperback books is for some reason a lot lower than the mass market prices even though the mass market books are supposedly of lesser quality. why is this ?","['@Dennis_Scheurich I would assume it is a supply/demand issue.  I’m not sure what the demand between traditional paperback and mass market is but I would imagine there is less demand for the mass market based off your statement and some Amazon forum threads.\nJust like any other listing with variations, sellers are going to gravitate to the highest selling variation and prices are going to drop as a result.', 'hello mitch. thanks for the quick response. that makes sense. i never thought of it that way.', 'Anytime @Dennis_Scheurich.  Do you have any other theories as to why this would be?  It would be nice if some others with experience in selling books would chime in here.']","Dec 7, 2019 12:21 pm",0,227,3
20,How to remove Amazon from listing?,Product Sourcing,['Vendor Relations'],"Hey Guys,
So after a month of negotiations with a brand i finally got exclusivity!!!  So brand has huge problem because Amazon is selling their products and they don’t know how is amazon buying their stuff? and of course amazon as a seller is not follow MAP policy and they would like if i can take control of entire brand on Amazon. This brand has a revenue of around 40,000$ a month.
So my question is how can i stop Amazon of selling their products on brands listings?. Because Brand owners doesn’t know where is Amazon buying their products from.
And is there any sample of how exclusivity should look like ?
Hope some one know answer !
Thank you ! ","['Hi @Ivan.  I’m assuming Amazon’s inventory is listed as new and not damaged product?  Does the brand sell through any distributors?', 'Hey @Mitch\nYes it’s listed as new. And yes Brand is selling tru a lot of distributors. And brand doesn’t  know who is selling to amazon…\nSo they wanna give me exclusivity and to force amazon out of listing .', '@Ivan This is going to be a tall task.  A lot of the work will need to be done on the manufacturers end.  Manufacturer needs to be sure that distributors know not to sell their products to online retailers.  It will still happen but it’s easier to get people off the listing if they were told they can’t sell online.\nAlso special labeling can be used for each distribution channel.  A few months after you have applied the labels, buy from Amazon.  Then see what numbers the product has and you’ll know which distribution channel the product came from.\n@LizD may have some other tricks as well.', 'Some distributors will not cooperate with the brands effectively enough to keep Amazon off the listing. So  the first step should be to determine whether their distributor(s) will.\nWe know brands who have cut off major distributors because they wouldn’t cooperate. Your brand may have to make some tough decisions.\nIf the distributor will cooperate, they should work with the brand to ensure that all buyers know that products may not be sold on Amazon.\nEither way, Amazon often buys under another name. Here are a partial list of Amazon brands, but they may buy under other names as well:\nhttps://www.amazon.com/b?ie=UTF8&node=17602470011 9](https://www.amazon.com/b?ie=UTF8&node=17602470011&fbclid=IwAR1ADuHuVUsLK9PoifBH74DrlVeChD6vgN4puLGs1mQLkyK9poCWmalcUaw\nMitch has the right idea with the special labeling. If a distributor is cooperating, you are still likely to see people buying products from them and illicitly selling on Amazon. Special labeling (or even marking with a black light pen) will help identify where product is being sourced.\nThere are all sorts of grey market ways Amazon gets their hands on products as well.\nAs for the exclusivity contract, send me an email and I’ll send you a sample template. Thanks!', 'Thank you on such a useful information ! I will send you email.\nRegards,\nIvan']","Nov 8, 2019 12:50 am",1,246,5
21,What do distributors care about?,Product Sourcing,['Sourcing Brand Name Products'],"Hi,
What do distributors care about in Amazon sellers like us? What is Amazon sellers value prop for distributors beyond the purchase order?
Thanks in advance!
Cheers,
David","['The big thing we’ve found distributor sales reps care about is their commission…', 'D.Jin\nMy background is distribution, so hopefully I can give some info.  The questions truly depends on the size of the distributor.  You have distributors that are small and local all the way up to distributors that do 25-100 Billion annually.  Even with that said all distributors are focused on selling product.  Your typical distributor has slim margins, so they want more volume.  The larger distributors the only true value you can add is sales volume.  Unfortunately until your buying big #s that is not a real value prop.   For the smaller distributor you may be able to add value by helping them get sales volume on new items they bring in or slower items they need sales on.  The very very small distributors may need help in other areas, but the med to big ones just want sales in my experience.\nHopefully that helps a bit.', 'Thank you Liz and Ben!', 'Distributors: Care about how deep your pockets are.\nManufacturers: Care about how you will represent their brand and if you will damage the consumers image of the brand. If you can provide value to them.\nAlso…you get a better margin when dealing with manufacturers for the most part.']","Oct 19, 2019 1:23 am",4,617,4
22,How do I analyze a price sheet using PC2?,Product Sourcing,[],"Hi all. I received a PDF price sheet from a distributor and would like to know how I can use  PC2 to analyze it. I’m not spreadsheet savvy so this is quite foreign to me.
Thanks.","['I’ve figured it out. I followed WEBS Sourcing workflow & found a free resource to convert it. Just out now how to make it conform with PC2 ', 'Glad you found the right WEBS template! ']","May 19, 2019 6:13 pm",4,377,2
23,Sending Gmass Emails,Product Sourcing,[],"How can my VA send emails to distributors and brands, using their assigned Google Suite email address, but show my email as the sender?","['@EdS I don’t believe you can do that using GMass.  You’d either have to give them access to your email or you can create a suppliers@domain type email to send from.\nIf you want to have VAs send through your account but don’t want to give them your login info, I’d recommend using QuickMail.  It allows you to send emails from several domains and has solid followup capabilities.', 'Thanks @Mitch. I’ll look into QuickMail. For now, I decided to just use delegation.']","Oct 28, 2019 6:21 am",2,236,2
24,Brand Contact Us page,Product Sourcing,[],"Hi there,
I was wondering what approach others use when a Brand has a Contact Us form versus an email address?  Do you submit an inquiry via that method?  If so, how do you track it from a response perspective?
Thanks in advance
Bob Gould
New to WEBS/Flowster","['@BobG If the contact us form is your only angle of approach, absolutely submit an inquiry.  Depending on how many contact us forms you are filling out, you may consider tracking them separately from your mass emails.  If only a few, you can use the template for the week in the inquiry and add to your bulk stats.\nThe best option would be to track separately but if you are doing this very rarely, it won’t really affect your stats if you don’t track it as well.  Just depends on how much work you want to put into it.']","Oct 20, 2019 2:54 am",0,320,1
25,Sending Mass email - Gmass,Product Sourcing,[],"Hi!
When you send that mass email to different suppliers using gmass, do you just put all the email address in the “TO” field or “BCC” field?  I don’t want to let the recipient know that I have sent this exact email to hundreds of other people plus the fact that the emails of these people are visible.
On the other hand, if I use “BCC” there is the fear that the email will go into spam folder.
Any tip appreciated.  Thank you!","['Hi @xinod14\nWhen using GMass, your list should auto-populate in the “TO” field.  Just make sure you are pressing the GMass button when you send and not the send button.  When you click the GMass button, it emails them separately.  If you were to click the send button, it would send email with all addresses CC’d.', 'Thank you for the info @Mitch', 'Do you get a lot of messages not delivered, message blocked, rejected due to spam when sending mass email?  Started sending emails to brands but I get a lot of emails being returned for a bunch of different reasons.  Is this normal? TIA', '@xinod14 You should check your sending reputation 7.  If it is poor, you will be sent to the spam folder more often.  It is also recommended that you verify your emails before you send them.  We use Neverbounce 8 to do this.  Having high bounce rates will lower your sending reputation.', 'Thank you for the tip Mitch! Will try Neverbounce asap', '@xinod14 You’re welcome! Hope that increases your deliverability!']","Oct 13, 2019 7:54 pm",6,384,6
26,WEBS Strikes Again!,Product Sourcing,[],"Here’s yet another huge new opportunity from the outbound email campaigns that we are able to easily do with WEBS.
I’m particularly excited to see that they spoke with 3 other companies, and we are the only one they are considering. This is the kind of thing that happens when you’ve done your homework and are prepared for the call (WEBS covers this)

Huge_New_Brand.jpg959×516 145 KB

This account will be worth north of $10K/mo in gross profit.
Happy to answer any questions you have.","['I love this! That’s so exciting Trent! I can’t wait to be in similar positions😁! One question I have, I know Warren Carter was using a “brand health review” that he emails brands that shows them what is being done poorly with their listing etc. does your company do something similar? If so, what’s the best formatting/layout for this that conveys a sense of urgency the best? Is there a software or something that allows you to do this easily? @Trent-Admin', 'We have a template in WEBS for our VAs to prepare a report for a brand. We find it effective to compare & contrast their listings, PPC, sales, etc with some of their competitors.', 'Could we get the explicit WEBS folder and template title for that report?  Thanks.', 'SOURCING: Brand Pre-Call Research', '\n\n\n LizD:\n\nBrand Pre-Call Research\n\n\nGot it, thanks!']","Oct 4, 2019 10:04 pm",1,528,5
27,VA Scouting Expectation,Product Sourcing,[],"Hey everyone! What expectations should I have for my VAs in regard to how long it should take them to find x number of leads? Say 100 for example. I want to get a baseline for what work speeds I should consider medium, good, excellent etc. What is the speed at which your VAs are able to accrue a good list of leads?","['It depends a lot on exactly how you’re filtering for leads, and on how new you are. Our VAs sometimes only get 2-8 leads/hour worked… but that includes extraction time and finding high quality email addresses (not just info@).\nWe also used to get more per hour… but a few years in and we end up finding a number of companies that we already have emailed.', 'Interesting. How many hours a week does your sourcing VA/VAs work? And how many leads do they normally extract? From finding the product to  finding brand email etc. the whole process.', 'We always have multiple VAs and most work 40 hours/week. Extracted leads varies wildly depending on the seller extracting… sometimes there are none left after filtering, sometimes hundreds.']","Oct 5, 2019 12:34 am",2,304,3
28,Amazon,Product Sourcing,['Vendor Management'],Is that good for the Seller to stick on the oneplatform for business promotion and Sales?,['@Ketsaal Are you asking whether you should move to selling on other platforms along with Amazon?  It is a good selling point to brands if you have the ability to move products off Amazon as well as on.'],"Sep 25, 2019 7:58 am",0,209,1
29,WEBS: How do I buy WEBS? (I want to Pay Full amount right away),Product Sourcing,['Sourcing Brand Name Products'],"WEBS:
How do I buy WEBS?  (I want to Pay Full amount right away)
Thanks
Shawn Chhabra","['Check out the resources page on Bright Ideas: https://brightideas.co/resources/ 38', 'Do we get a credit against the the beginner package when we buy the full WEBS package?', 'Yes, you do. After you make your purchase of WEBS, simply contact support@brightideas.co with your request for the refund of the beginner package.']","Aug 9, 2019 2:09 pm",4,392,3
30,Winning new accounts using trade shows,Product Sourcing,[],"Epic day today. We won a new account worth $10K+/mo in gross profit. Only took me two years from the first time I spoke with them until now.
Got a “we are definitely doing business together. I’m firing 2 of my 4 sellers and adding you as soon as they sell through” from another account that should be worth $50K to $80K/mo in revenue.
I also have at least 10 really solid leads and I expect to win 2-3 of them at a minimum. Another 20 leads that will need nurturing.
If I had to guess, within 90 days, our revenue will be up over $100K/mo.
Here’s a few take aways from my time at the conference over the last few days:

Strong selling brands get pitched far more than you can imagine
Some sellers even offer bribes ($10K cash under the table) to get account approval (didn’t work)
Everyone’s pitch sounds the same (we’ll help you remove unauthorized sellers and increase sales)

So how do you break through?

Rapport is the key to creating opportunities and winning accounts. If they don’t like/trust you, you have no chance in hell.
Content plays a role in building trust. Your smile plays a role in generating rapport.
Be persistent. (email & the phone is great for this)
Go after brands that aren’t yet on everybody’s radar screen. Look for brands that are the up and comers.
DO YOUR HOMEWORK AND KNOW WTF YOU ARE TALKING ABOUT.

There is a MOUNTAIN of opportunity in wholesale. There is a never ending supply of new brands. You simply have to hustle your ass off to get/keep them, and to do that, you have to want it REALLY BAD.
If you aren’t bringing your A-game, don’t bother even trying. You will get beat (every time) by those that did bring their A-game.",[],0,0,0,0
31,Product Sourcing for Professionals,Product Sourcing,[],"RE: the Product Sourcing for Professionals $397 Offer posted this past weekend, we signed up and I’m wondering, since we bought the Professional Package will our credit card be credited back the $397? Also when will we start to be able to view the 3 Videos on Modules covering: Product Discovery, Product Extraction & Product Purchasing going over the 37 steps you take before you send a purchase order to a new supplier to minimize risk of bad investment. Also, when is the next advanced sales call since that is also included? Thank you so much and we look forward to your reply(ies).","['Welcome to the forum. We have refunded the charge of $397 because you already own the full version of WEBS so there was no need to purchase this version. See you on the next WEBS customer call!', 'Hi, Trent. I bought the Product Sourcing for Professionals, and I received the link to the forum, but none of the other promised materials. I suspect that I just don’t know where to look. I tried contacting customer service and was channelled to Facebook and left a message there, but received no response. Can you help me?', ""Hi @Josie!\nThere’s usually two common issues:\n\n\nYou signed up to Flowster with a different email than you bought Product Sourcing for Professionals with.\n\n\nYou haven’t upgraded to the Standard plan: https://in.flowster.app/upgrade/account 2\n(since Product Sourcing for Professionals contains 7 templates and the Free plan can only accommodate 5)\n\n\nIf it’s neither of those things, please contact us at Flowster Support and we’ll be able to help further \n\n\n\nFlowster – 10 Aug 18 1\n\n\n\nContact Us | Flowster 1\nHow can we help you? Feel free to contact us if you have any questions Get In Touch Flowster 223 NV-207 #4225 Stateline, NV 89449-4225 USA E: support@flowster.app P: +1 619.721.3220 Support We're\n\n\n\n\n\n""]","Jul 15, 2019 6:28 pm",1,350,3
32,Existing Ads?,Product Sourcing,['Vendor Relations'],How do I tell if other sellers on the listing are currently running ads?,"['@APlusSeller One easy way to find out is to run a search for the brand name.  Typically, listings will show up in the sponsored product area if ads are being run.\nIf you are trying to find if a specific listing is being advertised, and it didn’t show up as a sponsored product in the brand search, you will have to run some searches using keywords from the listing.  This doesn’t guarantee you will get an answer though as they may not be winning they keyword(s) at the moment.\nAlso, if you do an extraction on the storefront using Jungle Scout, a little SP will show up beside the line on the extraction if ads are being run on the listing.  I believe it may only do this for the sponsored products on the page though so it may be redundant information.']","Aug 30, 2019 1:13 am",0,223,1
33,Email sourcing SOP missing?,Product Sourcing,[],"Under LEAF PRODUCT SOURCING: Step 2: Product Extractions with Tactical Arbitrage - Step 9 (Copy data to Google Spreadsheet)

We’re instructed to populate the Google URL column as it’s going to be used for the import step (Step3 of the Email Sourcing Process)

I can’t seem to find the SOP for the Email Sourcing process or is it referring to the following SOP?
SOURCING: Step 3: Importing Leads into HubSpot","['@Wayne are you asking about the SOP that walks you through sending the actual emails?\nStep 2 walks you through finding leads, step 3 walks you through bringing the leads into Hubspot and step 4 tells you how to send the emails.\nDoes this answer your question?', '@Mitch  This is directly from the SOP for Step 2 (Product Extraction)\n\nPopulate Google Sheet URL\nThe final step is to copy and paste the Google Sheet URL into the column titled Google Sheet URL .\nYou can use Bit.ly for this step. This should be the link to the Product Extraction WEBS Spreadsheet .\nWe use this for the import step (Step 3 of the Email Sourcing Process). It will import into Hubspot later on. This allows us to easily locate the initial Product Extraction data while following up with the brand.\n\nI can not find any SOP titled Email Sourcing ', '@Wayne All of the steps are part of the email sourcing process.  If you are talking about the SOP that actually shows you how to send the emails, then you are looking for step 4.\nSourcing____Folder____Flowster.png907×302 46.5 KB\n\nYou can also reference the sourcing overview to see how the process all fits together.', 'Thank you for the clarification ', 'Your welcome @Wayne.  By the way, what do you love about WEBS?  We’d love to hear it.  Please post to our Amazon Wholesale Success Facebook group 6 and let others know about your journey.']","Aug 22, 2019 10:01 am",0,321,5
